word,count
model,933
learning,861
language,397
via,397
language model,323
diffusion,294
neural,290
large,266
network,223
data,216
large language,213
graph,212
large language model,206
image,199
optimization,195
generation,182
llm,182
efficient,179
transformer,171
reinforcement,169
reinforcement learning,167
representation,167
3d,162
benchmark,157
diffusion model,149
dataset,138
dynamic,137
neural network,136
detection,125
towards,119
training,115
deep,106
video,106
robust,103
prediction,99
visual,99
framework,97
inference,96
understanding,91
linear,90
gradient,89
multimodal,88
algorithm,86
using,86
estimation,83
optimal,83
alignment,82
gaussian,82
modeling,82
time,82
reasoning,81
adaptive,80
object,79
causal,78
adversarial,77
federated,76
human,76
vision-language,76
generative,75
knowledge,75
generalization,73
space,72
online,71
segmentation,71
feature,70
adaptation,69
policy,69
vision,69
agent,66
analysis,65
attention,65
benchmarking,63
stochastic,63
evaluation,62
method,62
enhancing,61
series,60
latent,59
time series,59
bandit,58
improving,58
prompt,58
reconstruction,58
unified,58
scene,56
system,56
sparse,55
task,55
large-scale,54
semantic,54
bayesian,52
fast,52
foundation,52
vision-language model,52
control,51
offline,51
approach,50
distribution,50
problem,50
state,50
classification,49
matching,49
point,49
function,48
perspective,48
preference,48
evaluating,47
flow,47
foundation model,47
information,47
robustness,47
selection,47
attack,46
domain,46
label,46
process,46
zero-shot,46
graph neural,45
prior,45
regression,45
scalable,45
text-to-image,45
fine-tuning,44
in-context,44
structure,44
federated learning,43
representation learning,42
contrastive,41
graph neural network,41
hierarchical,41
scaling,41
beyond,40
forecasting,40
mixture,40
sampling,40
universal,40
heterogeneous,39
private,39
splatting,39
synthesis,39
unsupervised,39
bias,38
continuous,38
general,38
motion,38
rethinking,38
reward,38
text,38
without,38
consistency,37
convergence,37
design,37
distillation,37
expert,37
sample,37
approximation,36
complexity,36
gaussian splatting,36
loss,36
decision,35
implicit,35
matrix,35
recognition,35
sequence,35
based,34
bound,34
constrained,34
continual,34
effective,34
feedback,34
multi-modal,34
multiple,34
noise,34
object detection,34
action,33
code,33
editing,33
environment,33
game,33
multi-agent,33
cloud,32
generalized,32
kernel,32
search,32
simple,32
comprehensive,31
conditional,31
improved,31
interaction,31
state space,31
token,31
trajectory,31
active,30
context,30
discovery,30
fusion,30
memory,30
out-of-distribution,30
regularization,30
shift,30
structured,30
temporal,30
tuning,30
exploring,29
global,29
learning via,29
rate,29
uncertainty,29
world,29
accelerating,28
capability,28
clustering,28
concept,28
few-shot,28
field,28
inverse,28
simulation,28
transfer,28
compression,27
contextual,27
deep learning,27
fairness,27
local,27
medical,27
point cloud,27
regret,27
sequential,27
3d gaussian,26
convex,26
descent,26
instruction,26
machine,26
pruning,26
series forecasting,26
solving,26
time series forecasting,26
tree,26
view,26
's,25
ai,25
diverse,25
effect,25
fine-grained,25
generative model,25
noisy,25
retrieval,25
self-supervised,25
single,25
space model,25
state space model,25
value,25
boosting,24
datasets,24
guidance,24
in-context learning,24
interactive,24
low-rank,24
mitigating,24
model via,24
multi-task,24
parameter,24
planning,24
pre-training,24
pretraining,24
random,24
real-world,24
semantic segmentation,24
variational,24
augmentation,23
flexible,23
identification,23
molecular,23
partial,23
pose,23
privacy,23
probabilistic,23
reduction,23
rl,23
weight,23
aligning,22
application,22
circuit,22
discrete,22
fair,22
generalizable,22
group,22
learn,22
new,22
provably,22
spectral,22
compositional,21
dual,21
efficiency,21
encoding,21
end-to-end,21
finetuning,21
guided,21
hybrid,21
interpretable,21
mechanism,21
natural,21
need,21
offline reinforcement,21
offline reinforcement learning,21
quantization,21
recurrent,21
safe,21
safety,21
statistical,21
toward,21
transport,21
unlearning,21
vector,21
3d gaussian splatting,20
anomaly,20
backdoor,20
constraint,20
continual learning,20
contrastive learning,20
decoding,20
decomposition,20
denoising,20
dynamical,20
exploration,20
generating,20
geometric,20
gradient descent,20
guarantee,20
leveraging,20
markov,20
multi-view,20
query,20
scale,20
synthetic,20
test-time,20
vision transformer,20
3d object,19
consistent,19
distributed,19
dynamical system,19
embedding,19
equivariant,19
long,19
minimax,19
personalized,19
protein,19
provable,19
set,19
spiking,19
testing,19
theoretical,19
3d scene,18
architecture,18
complex,18
controllable,18
depth,18
differentially,18
differentially private,18
enhanced,18
imitation,18
joint,18
layer,18
map,18
minimization,18
novel,18
optimal transport,18
power,18
prompting,18
recommendation,18
restoration,18
score,18
semi-supervised,18
spatial,18
theory,18
unveiling,18
accurate,17
activation,17
better,17
bilevel,17
collaborative,17
cross-domain,17
deep neural,17
embeddings,17
image generation,17
low,17
make,17
metric,17
model-based,17
operator,17
out-of-distribution detection,17
perception,17
performance,17
risk,17
speech,17
study,17
tensor,17
tracking,17
world model,17
advancing,16
aggregation,16
behavior,16
collapse,16
communication,16
direct,16
explanation,16
faster,16
geometry,16
learned,16
open,16
pre-trained,16
rendering,16
selective,16
stable,16
across,15
active learning,15
calibration,15
class,15
conformal,15
correlation,15
deep neural network,15
distance,15
doe,15
ensemble,15
equilibrium,15
error,15
exact,15
flow matching,15
free,15
generation via,15
imaging,15
law,15
learner,15
limit,15
machine learning,15
model learning,15
molecule,15
multimodal large,15
multimodal large language,15
quality,15
question,15
strategic,15
tabular,15
variable,15
anomaly detection,14
attribution,14
automatic,14
autonomous,14
classifier,14
differentiable,14
distributional,14
exploiting,14
hallucination,14
image restoration,14
instance,14
knowledge graph,14
large vision-language,14
large vision-language model,14
masked,14
meet,14
one,14
perturbation,14
quantum,14
real,14
real-time,14
shape,14
social,14
text-to-image diffusion,14
versatile,14
3d object detection,13
automated,13
bayesian optimization,13
bridging,13
coding,13
collaboration,13
combinatorial,13
density,13
differential,13
diffusion prior,13
diffusion-based,13
diversity,13
domain adaptation,13
efficiently,13
estimating,13
face,13
frequency,13
gap,13
gaussian process,13
hidden,13
learning rate,13
lens,13
llm agent,13
llm via,13
mamba,13
manipulation,13
modality,13
programming,13
rank,13
sample complexity,13
skill,13
small,13
supervised,13
test-time adaptation,13
training-free,13
unifying,13
2d,12
answering,12
assessment,12
autoregressive,12
best,12
bilevel optimization,12
block,12
bottleneck,12
bridge,12
building,12
chain,12
clip,12
completion,12
correction,12
defense,12
diffusion transformer,12
divergence,12
driving,12
entropy,12
event,12
fourier,12
generated,12
graph learning,12
identifying,12
improves,12
material,12
matter,12
maximization,12
mdps,12
monocular,12
online learning,12
ood,12
predictive,12
preference optimization,12
quantification,12
revisiting,12
scaling law,12
signal,12
spiking neural,12
spiking neural network,12
strategy,12
structural,12
text-to-image diffusion model,12
variance,12
vision language,12
wasserstein,12
4d,11
anything,11
audio,11
average,11
black-box,11
brain,11
carlo,11
comprehensive benchmark,11
computation,11
convex optimization,11
curvature,11
dense,11
detector,11
difference,11
disentangled,11
distribution shift,11
distributionally,11
distributionally robust,11
energy-based,11
explicit,11
functional,11
high-dimensional,11
impact,11
insight,11
integrating,11
iterative,11
learnable,11
learning framework,11
length,11
mathematical,11
merging,11
mixture expert,11
monte,11
monte carlo,11
multivariate,11
mutual,11
navigation,11
neighbor,11
nonlinear,11
observation,11
pose estimation,11
potential,11
program,11
question answering,11
realistic,11
recurrent neural,11
reliable,11
response,11
setting,11
sgd,11
soft,11
surface,11
tabular data,11
transformation,11
translation,11
uncertainty quantification,11
unleashing,11
vision language model,11
accelerated,10
accuracy,10
activity,10
adversarial robustness,10
algorithmic,10
approximate,10
arbitrary,10
augmented,10
causal discovery,10
challenge,10
computational,10
conformal prediction,10
convolution,10
cooperative,10
data augmentation,10
dataset benchmark,10
decision-making,10
device,10
dimension,10
